MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
00:1f:3c:96:54:87,28076340,-70.75,3.2518189683373477,-89.0,20.085002743036313,2023,05,20,Saturday,12,00,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076342,-70.0,2.375440085015596,-90.33333333333333,23.396783926626796,2023,05,20,Saturday,12,02,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076344,-69.28571428571429,2.2533384897574504,-88.5,18.867708625039015,2023,05,20,Saturday,12,04,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076346,-70.14285714285714,2.5571619088706146,-88.5,18.867708625039015,2023,05,20,Saturday,12,06,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076348,-68.25,1.856200102049724,-88.0,17.78279410038923,2023,05,20,Saturday,12,08,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076350,-67.0,1.5848931924611136,-91.0,25.118864315095795,2023,05,20,Saturday,12,10,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076352,-68.71428571428571,2.0888587936915415,-86.5,15.039730109767962,2023,05,20,Saturday,12,12,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076354,-69.33333333333333,2.189920711113532,-86.0,14.32043411209086,2023,05,20,Saturday,12,14,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076356,-67.5,1.681586301250018,-85.0,12.589254117941676,2023,05,20,Saturday,12,16,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076358,-72.57142857142857,3.1857687904462906,-88.0,18.811526735033205,2023,05,20,Saturday,12,18,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076360,-72.0,2.833342222924075,-87.0,15.848931924611133,2023,05,20,Saturday,12,20,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076362,-72.66666666666667,3.0889398420537866,-86.0,14.12537544622754,2023,05,20,Saturday,12,22,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076364,-72.5,3.1623699515075696,-89.0,21.106880150302022,2023,05,20,Saturday,12,24,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076366,-73.71428571428571,3.6954991459497153,-91.25,26.81735397645443,2023,05,20,Saturday,12,26,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076368,-72.42857142857143,3.0542723371874834,-91.0,25.118864315095795,2023,05,20,Saturday,12,28,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076370,-70.71428571428571,2.5653259314976915,-90.5,24.06822623116667,2023,05,20,Saturday,12,30,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076372,-71.42857142857143,2.8194053973305873,-91.0,25.118864315095795,2023,05,20,Saturday,12,32,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076374,-71.125,2.7081660841215878,-89.0,20.040876211920477,2023,05,20,Saturday,12,34,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076376,-71.75,3.0240294610022627,-87.0,15.848931924611133,2023,05,20,Saturday,12,36,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076378,-70.57142857142857,2.503515697391902,-91.0,25.285520349163967,2023,05,20,Saturday,12,38,-1.0,-1.0,PC,Zona Estudo
